Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1177822/تصاویر-جذاب-از-کشوری-با-۳-پایتخت,2443,25386,9.62%,1,2,0
https://www.tabnak.ir/fa/news/1176988/بارش-باران-و-هوای-ابری-در-۷-استان,2438,23974,10.17%,1,8,0
https://www.tabnak.ir/fa/news/1174551/با-پرفروش-ترین-تبلت-های-تکنولایف-آشنا-شوید,2434,31592,7.7%,1,1,0
https://www.tabnak.ir/fa/news/1180684/رئیسی-مخالف-تغییر-ژئوپلتیک-در-قفقاز-هستیم,2433,22684,10.73%,1,4,0
https://www.tabnak.ir/fa/news/1178665/راهنمای-آمادگی-در-مصاحبه-برای-پذیرفته‌شدگان-دکتری,2432,26873,9.05%,1,5,0
https://www.tabnak.ir/fa/news/1177372/موتورسواری-عجیب-در-جزیره-کیش,2428,32307,7.52%,1,2,22
https://www.tabnak.ir/fa/news/1179627/افزایش-فوتی‌های-زائران-ایرانی-در-عربستان,2425,21185,11.45%,1,7,0
https://www.tabnak.ir/fa/news/1179949/شکست-امید-ایران-مقابل-عراق-در-فینال-غرب-آسیا,2415,32109,7.52%,2,9,0
https://www.tabnak.ir/fa/news/1180497/۴۶-گل-و-گیاه-مناسب-برای-کاشتن-در-تابستان,2404,45512,5.28%,1,7,0
https://www.tabnak.ir/fa/news/1174265/باد-شدید-و-رگبار-باران-در-راه-همدان,2402,21972,10.93%,1,5,0
https://www.tabnak.ir/fa/news/1182288/ممنوعیت-نشاکاری-مجدد-برنج-در-مازندران,2393,30157,7.94%,1,8,0
https://www.tabnak.ir/fa/news/1182755/شکایت-دسته-جمعی-از-پرسپولیس-بازهم-امضای-ممدحسن,2392,22317,10.72%,2,5,0
https://www.tabnak.ir/fa/news/1176362/طالبان-دلمان-از-بی‌آبی-سیستان-و-بلوچستان-می‌سوزد,2391,14693,16.27%,1,2,0
https://www.tabnak.ir/fa/news/1182116/خانم-محجبه-موتور-سوار-با-ست-رنگ-لباس-و-موتور,2385,62442,3.82%,1,6,0
https://www.tabnak.ir/fa/news/1176394/ساندو-آماده-بازداشت-پوتین-هستیم,2385,19822,12.03%,1,4,0
https://www.tabnak.ir/fa/news/1172700/یک-شهر-پر-از-خالی,2383,18379,12.97%,1,0,0
https://www.tabnak.ir/fa/news/1183037/وقتی-رئیس-مافیا-به-خواستگاری-می‌رود,2382,48607,4.9%,1,7,0
